caldt,vwretd,ewretd
19791031,-0.065560,-0.091444
19791130,0.052777,0.065807
19791231,0.018340,0.040352
19800131,0.061308,0.058776
19800229,0.002611,-0.031633
19800331,-0.097518,-0.105716
19800430,0.042394,0.045939
19800530,0.055560,0.081396
19800630,0.029722,0.032730
19800731,0.068200,0.091636
19800829,0.013454,0.026901
19800930,0.027935,0.028600
19801031,0.017809,0.008989
19801128,0.109910,0.064686
19801231,-0.030634,-0.011078
19810130,-0.043370,-0.011364
19810227,0.021267,0.028192
19810331,0.038285,0.082034
19810430,-0.020211,0.000661
19810529,0.006539,0.017051
19810630,-0.008255,-0.008757
19810731,0.000714,-0.017618
19810831,-0.055540,-0.062569
19810930,-0.050466,-0.051380
19811030,0.052115,0.058788
19811130,0.043827,0.042338
19811231,-0.027059,-0.019789
19820129,-0.015367,-0.019549
19820226,-0.050441,-0.036622
19820331,-0.006805,-0.003248
19820430,0.041550,0.047615
19820528,-0.029505,-0.043972
19820630,-0.015779,-0.007225
19820730,-0.020199,-0.015098
19820831,0.127402,0.129328
19820930,0.010496,0.016275
19821029,0.113863,0.143918
19821130,0.045754,0.060061
19821231,0.016835,0.015472
19830131,0.035293,0.035262
19830228,0.025733,0.040992
19830331,0.035470,0.051423
19830429,0.075719,0.068731
19830531,-0.005687,0.025788
19830630,0.036970,0.031633
19830729,-0.031238,-0.026509
19830831,0.015864,0.004522
19830930,0.014153,0.026200
19831031,-0.013108,-0.018816
19831130,0.023846,0.047169
19831230,-0.005749,-0.008631
19840131,-0.003898,-0.013908
19840229,-0.034034,-0.047416
19840330,0.017295,0.022524
19840430,0.006781,-0.008973
19840531,-0.053131,-0.058790
19840629,0.022937,0.031563
19840731,-0.013765,-0.029442
19840831,0.112438,0.128257
19840928,-0.000064,0.003490
19841031,0.003331,0.000610
19841130,-0.009841,-0.003016
19841231,0.025556,0.024721
19850131,0.076868,0.094720
19850228,0.014166,0.009790
19850329,-0.000636,-0.003593
19850430,-0.003704,-0.011623
19850531,0.062740,0.066695
19850628,0.016065,0.014504
19850731,-0.003321,0.009243
19850830,-0.006473,-0.008381
19850930,-0.033248,-0.044999
19851031,0.045079,0.042571
19851129,0.071887,0.074397
19851231,0.048156,0.043535
19860131,0.004706,0.016882
19860228,0.076525,0.080966
19860331,0.055832,0.060394
19860430,-0.013348,-0.019923
19860530,0.055326,0.057889
19860630,0.015744,0.001974
19860731,-0.057541,-0.075330
19860829,0.074417,0.077913
19860930,-0.083243,-0.071240
19861031,0.056538,0.063058
19861128,0.024876,0.022384
19861231,-0.027513,-0.032351
19870130,0.135183,0.141074
19870227,0.041778,0.059275
19870331,0.026336,0.019910
19870430,-0.009045,-0.012616
19870529,0.009128,0.012787
19870630,0.050140,0.044007
19870731,0.049843,0.065255
19870831,0.039108,0.029417
19870930,-0.021940,-0.016378
19871030,-0.215795,-0.256070
19871130,-0.081874,-0.062283
19871231,0.073922,0.094687
19880129,0.042712,0.050075
19880229,0.047445,0.075351
19880331,-0.030847,-0.007630
19880429,0.010516,0.003409
19880531,0.008012,0.004565
19880630,0.047676,0.060296
19880729,-0.004458,-0.010679
19880831,-0.032488,-0.033321
19880930,0.042739,0.041666
19881031,0.026891,0.013806
19881130,-0.014355,-0.022981
19881230,0.018553,0.027689
19890131,0.072303,0.071117
19890228,-0.025031,-0.011182
19890331,0.023038,0.020053
19890428,0.051707,0.049637
19890531,0.041022,0.047241
19890630,-0.005611,-0.006750
19890731,0.090053,0.082832
